"abought","aby"
"deposited","deposit"
"depositing","deposit"
"depositings","deposit"
"deprogrammed","deprogram"
"deprogramming","deprogram"
"derned","dern"
"derning","dern"
"dernings","dern"
"desertrices","desertrix"
"determined","determine"
"determining","determine"
"determinings","determine"
"developed","develop"
"developing","develop"
"developings","develop"
"dhonies","dhoney"
"diagnoses","diagnosis"
"dialyses","dialysis"
"dice","die"
"dickies","dickie"
"did","do"
"dies","die"
"digitalises","digitalise"
"dignities","dignity"
"dildoes","dildo"
"dinged","ding"
"dipsies","dipsy"
"dirigistes","dirigiste"
"disenrolled","disenroll"
"disenrolling","disenroll"
"disenrollings","disenroll"
"disenthralled","disenthrall"
"disenthralling","disenthrall"
"disenthrallings","disenthrall"
"disinthralled","disinthrall"
"disinthralling","disinthrall"
"disinthrallings","disinthrall"
"dispelled","dispel"
"dispelling","dispel"
"dispellings","dispel"
"dissed","dis"
"disses","dis"
"dissing","dis"
"dissings","dis"
"disties","disty"
"distilled","distill"
"distilling","distill"
"distillings","distill"
"diureses","diuresis"
"divinities","divinity"
"divvies","divvy"
"diz","dee"
"dodded","dodd"
"dodding","dodd"
"doddings","dodd"
"does","do"
"doggies","doggie"
"dogies","dogie"
"dons","don"
"doodied","doody"
"doodies","doody"
"doodying","doody"
"doodyings","doody"
"doolies","doolie"
"doozies","doozy"
"downies","downy"
"doxies","doxy"
"drenched","drench"
"drenches","drench"
"drenching","drench"
"drinkies","drinky"
"druggies","druggie"
"drunkennesses","drunkenness"
"duces","dux"
"duckies","ducky"
"duppies","duppy"
"durries","durry"
"dutchies","dutchy"
"duties","duty"
"dying","die"
"dyings","die"
"dyun","dee"
"eateries","eatery"
"ecchymoses","ecchymosis"
"egged","egg"
"egging","egg"
"electrophoreses","electrophoresis"
"ellipses","ellipse"
"elves","elf"
"elytra","elytron"
"encephala","encephalon"
"enemies","enemy"
"enrolled","enroll"
"enrolling","enroll"
"enrollings","enroll"
"ensheathed","ensheath"
"ensheathing","ensheath"
"ensheathings","ensheath"
"entelechies","entelechy"
"enthralled","enthrall"
"enthralling","enthrall"
"enthrallings","enthrall"
"enthralls","enthrall"
"enveloped","envelop"
"enveloping","envelop"
"envelopings","envelop"
"envied","envy"
"envies","envy"
"envying","envy"
"eozoa","eozoon"
"epicedia","epicedium"
"epizoa","epizoon"
"equinoxes","equinox"
"erred","err"
"erring","err"
"errings","err"
"esses","ess"
"evened","even"
"evening","even"
"examined","examine"
"examining","examine"
"exemplified","exemplify"
"exemplifies","exemplify"
"exemplifying","exemplify"
"exemplifyings","exemplify"
"exocytoses","exocytosis"
"expelled","expel"
"expelling","expel"
"extolled","extol"
"extolling","extol"
"extollings","extol"
"extripated","extripate"
"extripates","extripate"
"extripating","extripate"
"extripatings","extripate"
"eyasses","eyass"
"eyed","eye"
"eying","eye"
"eyings","eye"
"eyries","eyrie"
"faeries","faerie"
"fained","fain"
"faining","fain"
"fainings","fain"
"fairies","fairy"
"fantasies","fantasy"
"fatties","fatty"
"faving","fave"
"favings","fave"
"fellatrices","fellatrix"
"felled","fell"
"fesses","fess"
"fetiches","fetich"
"fishies","fishy"
"fixed","fix"
"fixes","fix"
"fixing","fix"
"fixt","fix"
"fizzed","fizz"
"fizzes","fizz"
"fizzing","fizz"
"flambeed","flambe"
"flatties","flatty"
"floaties","floaty"
"floosies","floosy"
"floozies","floozy"
"flowed","flow"
"flowing","flow"
"flunkies","flunky"
"fogies","fogey"
"fomites","fomite"
"fooderies","foodery"
"footsies","footsie"
"forelives","forelife"
"forestalled","forestall"
"forestalling","forestall"
"forwasted","forwaste"
"forwasting","forwaste"
"forwastings","forwaste"
"fosses","foss"
"found","find"
"Frenchies","Frenchie"
"freshies","freshie"
"frijoles","frijol"
"frizzed","frizz"
"frizzes","frizz"
"frizzing","frizz"
"frizzings","frizz"
"frolicked","frolic"
"frolicking","frolic"
"fulfilled","fulfil"
"fulfilling","fulfil"
"fulfillings","fulfil"
"fundies","fundie"
"fuqaha'","faqih"
"galoshes","galosh"
"ganged","gang"
"ganging","gang"
"garded","gard"
"garding","gard"
"gardings","gard"
"garrotted","garrotte"
"garrotting","garrotte"
"garrottings","garrotte"
"genii","genius"
"gharries","gharry"
"ghosties","ghosty"
"giantesses","giantess"
"gillies","gillie"
"girlies","girlie"
"glassed","glass"
"glasses","glass"
"glassing","glass"
"glochidia","glochidium"
"glories","glory"
"goloshes","golosh"
"gone","go"
"goodies","goody"
"goodnesses","goodness"
"goodwillies","goodwilly"
"goonies","goonie"
"grannies","granny"
"greenies","greenie"
"grotesqueries","grotesquerie"
"growing","grow"
"guarded","guard"
"guarding","guard"
"guardings","guard"
"guidwillies","guidwillie"
"guppies","guppie"
"gynies","gynie"
"gyppies","gyppy"
"gypsies","gypsy"
"haemolyses","haemolysis"
"hæresies","hæresie"
"hajes","haj"
"halved","halve"
"halves","half"
"halving","halve"
"halvings","halve"
"hankies","hankie"
"haphtarot","haphtarah"
"haphtaroth","haphtarah"
"harquebuses","harquebus"
"heard","hear"
"held","hold"
"hemelytra","hemelytron"
"hemolyses","hemolysis"
"hetties","hetty"
"hippies","hippie"
"histolyses","histolysis"
"histories","history"
"hoagies","hoagie"
"hoboes","hobo"
"hoes","hoe"
"hole","heal"
"holen","heal"
"holynesses","holyness"
"homoeomeries","homoeomery"
"homolyses","homolysis"
"honesties","honesty"
"honkies","honky"
"hoodies","hoodie"
"hoopties","hooptie"
"horsies","horsie"
"hostesses","hostess"
"hotties","hottie"
"housewives","housewife"
"howdies","howdy"
"huskies","husky"
"hussies","hussy"
"hydraulicked","hydraulic"
"hydraulicking","hydraulic"
"hydraulickings","hydraulic"
"hydrolyses","hydrolysis"
"hying","hie"
"hyings","hie"
"hypocrisies","hypocrisy"
"hystories","hystorie"
"ichnocoenoses","ichnocoenosis"
"iconostases","iconostasis"
"idiomaticities","idiomaticity"
"imagined","imagine"
"imagines","imagine"
"imagining","imagine"
"immies","immie"
"impresses","impress"
"improvisatrices","improvisatrix"
"indices","index"
"indies","indie"
"inned","inn"
"inning","inn"
"insheathed","insheathe"
"insheathing","insheathe"
"insheathings","insheathe"
"installed","install"
"installing","install"
"installings","install"
"instilled","instill"
"instilling","instill"
"instillings","instill"
"interleaves","interleave"
"interlocutrices","interlocutrix"
"interned","intern"
"interning","intern"
"inuksuit","inukshuk"
"iynges","iynx"
"jacksies","jacksie"
"jakies","jakey"
"jammies","jammie"
"jarvies","jarvey"
"judged","judge"
"judges","judge"
"judging","judge"
"junkies","junkie"
"jynges","jynx"
"kelpies","kelpie"
"kermesses","kermesse"
"ketoses","ketosis"
"kiddies","kiddie"
"kindnesses","kindness"
"kipot","kipah"
"kippot","kippah"
"kipsies","kipsie"
"kitties","kitty"
"kleroteria","kleroterion"
"knives","knife"
"knobkerries","knobkerry"
"knowledges","knowledge"
"kolaches","kolache"
"kreeses","krees"
"labelled","label"
"labelling","label"
"laddies","laddie"
"ladies","lady"
"lagopodes","lagopode"
"lambasted","lambast"
"lambasting","lambast"
"lambastings","lambast"
"lambies","lamby"
"lappies","lappy"
"lares","lare"
"largesses","largesse"
"lassies","lassie"
"lathed","lathe"
"lathing","lathe"
"lathings","lathe"
"laughed","laugh"
"laughing","laugh"
"lavvies","lavvy"
"leaves","leave"
"leches","lech"
"lefties","lefty"
"lenses","lens"
"leproseries","leprosery"
"lesbies","lesbie"
"leses","lese"
"lezzes","lezz"
"lezzies","lezzie"
"liberties","liberty"
"lippies","lippy"
"lissed","liss"
"lisses","liss"
"lissing","liss"
"lissings","liss"
"literati","literatus"
"lives","life"
"loaves","loaf"
"lolled","loll"
"lolling","loll"
"lollings","loll"
"longed","long"
"longies","longie"
"loogies","loogie"
"loonies","loony"
"loosies","loosie"
"lorries","lorry"
"lued","lue"
"luing","lue"
"luings","lue"
"lurgies","lurgy"
"lurved","lurve"
"lurving","lurve"
"lurvings","lurve"
"luvvies","luvvie"
"made","make"
"maegboten","maegbot"
"magi","mage"
"magnaneries","magnanery"
"majesties","majesty"
"mamsies","mamsie"
"mannies","manny"
"manties","manty"
"marqueteries","marquetery"
"martyria","martyrium"
"martyrologies","martyrology"
"mashies","mashie"
"mastocytoses","mastocytosis"
"maties","matie"
"matrices","matrix"
"matzos","matzo"
"matzot","matzo"
"meanies","meanie"
"mechitzot","mechitzah"
"meinies","meinie"
"melancholies","melancholy"
"meninges","meninge"
"mercies","mercy"
"metamorphoses","metamorphosis"
"metaphases","metaphasis"
"metempsychoses","metempsychosis"
"mezuzoth","mezuzah"
"mezuzot","mezuzah"
"microsporidia","microsporidium"
"middies","middie"
"midwived","midwife"
"midwives","midwife"
"midwiving","midwife"
"midwivings","midwife"
"mimicked","mimic"
"mimicking","mimic"
"minged","ming"
"minging","ming"
"mingings","ming"
"minyonim","minyon"
"misanalyses","misanalysis"
"misdiagnoses","misdiagnosis"
"misled","mislead"
"misprogrammed","misprogram"
"misprogramming","misprogram"
"misprogrammings","misprogram"
"missies","missy"
"mistresses","mistress"
"miswent","misgo"
"mitoses","mitosis"
"mixed","mix"
"mixes","mix"
"mixing","mix"
"mixt","mix"
"modelled","model"
"modelling","model"
"m","odynometer"
"moggies","moggie"
"mollies","mollie"
"mollified","mollify"
"mollifies","mollify"
"mollifying","mollify"
"mollifyings","mollify"
"monera","moneron"
"mongooses","mongoose"
"monitrices","monitrix"
"monkies","monky"
"moonies","moonie"
"mores","more"
"mortalities","mortality"
"mounties","mountie"
"mudiriyat","mudiriyah"
"munchies","munchie"
"munged","munge"
"munging","munge"
"mungings","munge"
"mungooses","mungoose"
"muskies","musky"
"mussies","mussy"
"mutaween","mutawa"
"muzzies","muzzy"
"nabbies","nabbie"
"nappies","nappy"
"narcoses","narcosis"
"nares","naris"
"navies","navy"
"nebbishes","nebbish"
"necessitated","necessitate"
"necessitating","necessitate"
"necessitatings","necessitate"
"necroses","necrosis"
"neohippies","neohippie"
"netties","netty"
"neurofibromatoses","neurofibromatosis"
"newsies","newsie"
"nieves","nief"
"niggies","niggy"
"nighties","nightie"
"nixies","nixie"
"nonhippies","nonhippie"
"noogies","noogie"
"numpties","numpty"
"nursies","nursie"
"nymphæ","nymph"
"obsequies","obsequy"
"oes","oe"
"offies","offie"
"oldies","oldie"
"oned","one"
"oning","one"
"onings","one"
"oraches","orache"
"orangeries","orangery"
"organdies","organdy"
"osmolalities","osmolality"
"osmoses","osmosis"
"ostraca","ostracon"
"ouches","ouch"
"outcasting","outcast"
"outcastings","outcast"
"outies","outie"
"outputted","output"
"outputting","output"
"outputtings","output"
"overanalyses","overanalysis"
"overfulfilled","overfulfill"
"overfulfilling","overfulfill"
"overfulfillings","overfulfill"
"packies","packy"
"palled","pall"
"Pallies","Pallie"
"palling","pall"
"pallings","pall"
"panicked","panic"
"panicking","panic"
"panickings","panic"
"panties","pantie"
"parabolae","parabola"
"paralyses","paralysis"
"paralyzes","paralyze"
"parhelia","parhelion"
"parvises","parvis"
"pasties","pasty"
"pathoses","pathosis"
"patooties","patootie"
"patties","patty"
"pavises","pavis"
"pearlies","pearly"
"peeped","peep"
"peeping","peep"
"peeries","peery"
"penes","penis"
"perihelia","perihelion"
"periphrases","periphrase"
"permeabilised","permeabilise"
"permeabilising","permeabilise"
"permeabilisings","permeabilise"
"perned","pern"
"perning","pern"
"pernings","pern"
"persevered","persevere"
"persevering","persevere"
"perved","perv"
"perving","perv"
"pervings","perv"
"phagocytoses","phagocytosis"
"phalanges","phalange"
"phantasies","phantasie"
"phases","phase"
"philosophies","philosophy"
"phonies","phony"
"photosensitized","photosensitize"
"photosensitizing","photosensitize"
"photosensitizings","photosensitize"
"phyla","phylum"
"phylosophies","phylosophie"
"physicked","physic"
"physicking","physic"
"phytocoenoses","phytocoenosis"
"pickaninnies","pickaninny"
"pickaxed","pickaxe"
"pickaxes","pickaxe"
"pickaxing","pickaxe"
"pickaxings","pickaxe"
"pied","pie"
"pies","pie"
"piggies","piggy"
"pigsnies","pigsnie"
"pinkies","pinky"
"pipetted","pipette"
"pipetting","pipette"
"pipettings","pipette"
"pirries","pirrie"
"pixies","pixie"
"planches","planche"
"plasmolyses","plasmolysis"
"plastoglobuli","plastoglobulus"
"platitudinised","platitudinise"
"platitudinises","platitudinise"
"platitudinising","platitudinise"
"platitudinisings","platitudinise"
"played","play"
"playing","play"
"pledged","pledge"
"pledges","pledge"
"pledging","pledge"
"plethra","plethrum"
"pogies","pogie"
"pokies","poky"
"poleaxed","poleaxe"
"poleaxes","poleaxe"
"poleaxing","poleaxe"
"poleaxings","poleaxe"
"polyandria","polyandrium"
"polyzoaria","polyzoarium"
"pommies","pommy"
"poopies","poopy"
"pooves","poof"
"porgies","porgie"
"portesses","portesse"
"posses","posse"
"potlaches","potlach"
"pozzies","pozzy"
"praties","pratie"
"preferred","prefer"
"preferring","prefer"
"preferrings","prefer"
"prefixed","prefix"
"prefixes","prefix"
"prefixing","prefix"
"prefixings","prefix"
"premiered","premier"
"premiering","premier"
"premierings","premier"
"premies","premie"
"preppies","preppie"
"pres","pre"
"prexies","prexie"
"proclaimed","proclaim"
"proclaiming","proclaim"
"programmed","program"
"programming","program"
"programmings","program"
"proœmia","proœmion"
"properties","property"
"prossies","prossy"
"prosties","prosty"
"proteobacteria","proteobacterium"
"proteolyses","proteolysis"
"prothalamia","prothalamion"
"protheses","prothesis"
"protozoa","protozoan"
"prutoth","prutah"
"prutot","prutah"
"pseudopodia","pseudopod"
"psyched","psych"
"psyching","psych"
"psychings","psych"
"pubes","pubis"
"pugillares","pugillaris"
"punkies","punky"
"punties","punty"
"purgatories","purgatory"
"purred","purr"
"purring","purr"
"purrings","purr"
"pusses","puss"
"putties","putty"
"putting","put"
"puttings","putt"
"pyrolyses","pyrolysis"
"qindarka","qintar"
"quiches","quiche"
"quickies","quickie"
"quizzes","quiz"
"raches","rach"
"radiolyses","radiolysis"
"raises","raise"
"ranches","ranch"
"ran","run"
"rarities","rarity"
"rases","rase"
"reaches","reach"
"reanalyses","reanalysis"
"recouped","recoup"
"recouping","recoup"
"recoupings","recoup"
"redded","red"
"redding","red"
"reddings","red"
"redistilled","redistill"
"redistilling","redistill"
"redistillings","redistill"
"reft","reave"
"regarded","regard"
"regarding","regard"
"reguarded","reguard"
"reguarding","reguard"
"reguardings","reguard"
"reis","rei"
"relaid","relay"
"relaying","relay"
"relayings","relay"
"relays","relay"
"rellies","relly"
"repasted","repast"
"repasting","repast"
"repastings","repast"
"reprogrammed","reprogram"
"reprogramming","reprogram"
"reptilia","reptilian"
"resegregated","resegregate"
"resegregating","resegregate"
"resegregatings","resegregate"
"resheathed","resheath"
"resheathing","resheath"
"resheathings","resheath"
"restringing","restring"
"restringings","restring"
"reveries","reverie"
"reyses","reyse"
"rhinocerotes","rhinoceros"
"riches","rich"
"righties","righty"
"Romanies","Romani"
"Rotties","Rotty"
"roughies","roughy"
"routed","route"
"routing","route"
"routings","route"
"rowdies","rowdy"
"rpts","rpt"
"rudies","rudy"
"rumpies","rumpy"
"sacked","sack"
"sacking","sack"
"sackings","sack"
"sasses","sass"
"sauteed","sautee"
"scalies","scaly"
"scallies","scally"
"scathed","scathe"
"scathing","scathe"
"scathings","scathe"
"schemies","schemie"
"schlepped","schlep"
"schlepping","schlep"
"schleppings","schlep"
"schmoes","schmoe"
"schmoozed","schmooze"
"schmoozes","schmooze"
"schmoozing","schmooze"
"schmoozings","schmooze"
"schnozzes","schnozz"
"schoolies","schoolie"
"schottisches","schottisch"
"scleroses","sclerosis"
"scrunchies","scrunchie"
"seannachies","seannachy"
"secreted","secret"
"secreting","secret"
"secretings","secret"
"seigneuries","seigneury"
"selfies","selfie"
"sennachies","sennachy"
"sephiroth","sephirah"
"sexes","sex"
"shabiyat","shabiyah"
"shat","shit"
"sheathed","sheath"
"sheathing","sheath"
"sheathings","sheathe"
"sheaves","sheaf"
"shellacked","shellack"
"shellacking","shellack"
"shelties","sheltie"
"shelves","shelf"
"shied","shy"
"shies","shy"
"shkotzim","shkotz"
"shnorred","shnorr"
"shnorring","shnorr"
"shnorrings","shnorr"
"shorties","shorty"
"shotties","shottie"
"shrank","shrink"
"shright","shritch"
"shrinking","shrink"
"shriven","shrive"
"shrunken","shrink"
"shrunk","shrink"
"shufties","shufty"
"siggies","siggy"
"signalled","signal"
"signalling","signal"
"silkies","silky"
"Sinti","Sinto"
"sirenes","sirene"
"sises","sis"
"sisses","sis"
"skied","ski"
"skies","sky"
"slitten","slit"
"slushies","slushie"
"smarties","smarty"
"smilies","smiley"
"smokies","smokey"
"smoothed","smoothe"
"smoothies","smoothie"
"smoothing","smoothe"
"snied","sny"
"snies","sny"
"snotties","snotty"
"snying","sny"
"snyings","sny"
"soddies","soddy"
"softies","softie"
"sommies","sommie"
"sophies","sophie"
"Sophies","Sophie"
"spanged","spang"
"spanging","spang"
"spangings","spang"
"sparkies","sparky"
"spazzed","spazz"
"spazzes","spazz"
"spazzing","spazz"
"spazzings","spazz"
"speckies","specky"
"speeches","speech"
"spermatozoa","spermatozoon"
"springing","spring"
"spuggies","spuggy"
"squaddies","squaddie"
"squirred","squirr"
"squirring","squirr"
"squirrings","squirr"
"squizzes","squizz"
"stadia","stadium"
"Staffies","Staffy"
"staves","stave"
"stealing","steal"
"sterigmata","sterigma"
"stickies","sticky"
"stiffies","stiffy"
"stogies","stogie"
"stolen","steal"
"stole","steal"
"stoolies","stoolie"
"stories","story"
"stotted","stott"
"stotties","stottie"
"stottin","stott"
"stravaiged","stravaige"
"stravaigings","stravaige"
"stravaiging","stravaige"
"stubbies","stubby"
"stuffies","stuffy"
"stymied","stymie"
"stymies","stymie"
"subbases","subbasis"
"subbies","subbie"
"successes","success"
"sugardaddies","sugardaddy"
"supercheries","supercherie"
"surries","surry"
"sursies","sursy"
"swabbies","swabby"
"swaggies","swaggie"
"swearing","swear"
"sweeties","sweetie"
"swinging","swing"
"swirlies","swirly"
"swizzes","swizz"
"swore","swear"
"syboes","syboe"
"symbioses","symbiosis"
"synapses","synapse"
"synched","sync"
"synchings","sync"
"synching","sync"
"synedria","synedrium"
"syringes","syringe"
"tackies","tacky"
"takkies","takkie"
"talked","talk"
"talking","talk"
"tallies","tally"
"tamales","tamale"
"tarred","tar"
"tarring","tar"
"tasses","tasse"
"tatties","tattie"
"tawses","tawse"
"taxes","tax"
"teaches","teach"
"tenues","tenue"
"termites","termite"
"testes","testis"
"testimonies","testimony"
"thanatocoenoses","thanatocoenosis"
"thanked","thank"
"thanking","thank"
"theosophies","theosophy"
"thickies","thicky"
"thieves","thief"
"thinking","think"
"thought","think"
"thromboses","thrombosis"
"throwing-axes","throwing-axe"
"Tillies","Tilly"
"tinged","tinge"
"tingings","tinge"
"tinging","tinge"
"titties","titty"
"took","take"
"toughies","toughy"
"townies","townie"
"trafficked","traffick"
"trafficking","traffick"
"tragedies","tragedy"
"tranches","tranche"
"trannies","tranny"
"transcytoses","transcytosis"
"travelled","travel"
"travelling","travel"
"travoises","travois"
"tries","try"
"trollied","trolley"
"trollies","trolley"
"tunnellings","tunnel"
"turquoises","turquoise"
"tushies","tushy"
"tutelaries","tutelary"
"tuxies","tuxie"
"tweenies","tweeny"
"twisties","twisty"
"tyloses","tylosis"
"tyrannies","tyranny"
"uglies","ugly"
"umbegripped","umbegrip"
"umbegrippings","umbegrip"
"umbegripping","umbegrip"
"umbelapped","umbelap"
"umbelappings","umbelap"
"umbelapping","umbelap"
"ummed","umm"
"ummings","umm"
"umming","umm"
"unbitted","unbit"
"unbittings","unbit"
"unbitting","unbit"
"underdiagnoses","underdiagnosis"
"undergoes","undergo"
"undergoings","undergo"
"undergoing","undergo"
"undergone","undergo"
"underlain","underlie"
"underlay","underlie"
"underlies","underlie"
"underlives","underlive"
"underlyings","underlie"
"underlying","underlie"
"underwent","undergo"
"unenrolled","unenroll"
"unenrollings","unenroll"
"unenrolling","unenroll"
"unfolded","unfold"
"unfolding","unfold"
"universities","university"
"unkies","unky"
"unsheathed","unsheath"
"unsheathings","unsheath"
"unsheathing","unsheath"
"untying","untie"
"unvailed","unvail"
"unvailings","unvail"
"unvailing","unvail"
"vacua","vacuum"
"vacuities","vacuity"
"valvulae","valvule"
"vertices","vertex"
"vicomtesses","vicomtess"
"victualled","victual"
"victuallings","victual"
"victualling","victual"
"vilanies","vilany"
"vires","vire"
"visses","vis"
"voddies","voddie"
"vyings","vie"
"vying","vie"
"waddies","waddie"
"wadies","wadi"
"waited","wait"
"waiting","wait"
"wazungu","muzungu"
"weaknesses","weakness"
"weenies","weenie"
"wellies","wellie"
"went","go"
"wharves","wharf"
"wheelies","wheelie"
"whimsies","whimsy"
"whinged","whing"
"whingings","whing"
"whinging","whing"
"whirred","whirr"
"whirrings","whirr"
"whirring","whirr"
"whiskies","whiskey"
"whities","whitey"
"whizzed","whiz"
"whizzes","whiz"
"whizzings","whiz"
"whizzing","whiz"
"whoopsies","whoopsie"
"willies","willie"
"winged","wing"
"wingings","wing"
"winging","wing"
"winkies","winky"
"wishes","wish"
"wissed","wiss"
"wisses","wiss"
"wissings","wiss"
"wissing","wiss"
"witnesses","witness"
"wives","wife"
"wolves","wolf"
"woning","wone"
"woodies","woody"
"Wookies","Wookiee"
"wreathed","wreath"
"wreathings","wreath"
"wreathing","wreath"
"wretches","wretch"
"writhing","writhe"
"wrought","wreak"
"wurlies","wurly"
"wusses","wuss"
"wussies","wussy"
"wyes","wye"
"wytches","wytch"
"yabbies","yabbie"
"yachties","yachtie"
